#BIBLE VERSE DESKTOP

#name   	Turkish Bible
#language	turkish

; Scripture taken from the Turkish Bible. 

Kaftanlarını Kuzunun kanıyla yıkamış, bembeyaz etmişlerdir	Vahiy 7:14 
Imanla aklandığımıza göre,Tanrıyla barışmış oluyoruz	Romalılar 5:1
Bana dönün, huzur bulun, kurtulursunuz	Yeşaya 30:15
Bilerek işlenen günahlardan koru kulunu	Mezmurlar 18:13
Her yönden sıkıştırılmışız, ama ezilmiş değiliz	2 Korintliler 4:8
Babanın Oğlunu dünyanın Kurtarıcısı olarak gönderdi	1 Yuhanna 4:14
Sözlerinin açıklanışı aydınlık saçar, insanlara akıl verir	Mezmurlar 118:130
Çünkü Rabbin gözleri  Doğru kişilerin üzerindedir	1 Petrus 3:12
Çünkü Fısıh kuzumuz Mesih kurban edildi	1 Korintliler 5:7
Çok bereketli kılacağım erzağını	Mezmurlar 131:15
Sevgine göre anımsa beni,sen iyisin, ya RAB	Mezmurlar 24:7
Galip gelen bunları miras alacak	Vahiy 21:7
Yüce mücadeleyi sürdürdüm,imanı korudum	2 Timoteos 4:7
Sıkı tut beni, kurtulayım	Mezmurlar 118:117
Rab kendine ait olanları bilir	2 Timoteos 2:19
Kutsal giysiler içinde RABbe tapının	Mezmurlar 95:9
Bunun için Tanrıya bağımlı olun. İblise karşı direnin	Yakup 4:7
Merhamet ve iyi meyvelerle doludur	Yakup 3:17
Bol sevinç vardır senin huzurunda	Mezmurlar 15:11
Bu sözlerimi aklınızda ve yüreğinizde tutun	Yasa'nın Tekrarı 11:18
RAB'bin adı yardımcımızdır	Mezmurlar 123:8
Ey Tanrım, bütün bunları iyiliğim için anımsa	Nehemya 13:31
RABbin sözünü işit	Yeremya 38:20
Gerçeği uygulayan ışığa gelir	Yuhanna 3:21
Gönder ışığını, gerçeğini	Mezmurlar 42:3
Her şeyi RABbe bırak	Mezmurlar 36:5
RABbi bekle, O seni kurtarır	Süleyman'ın Özdeyişleri 20:22
Sadık kulların iyiliklerinle sevinsinler	2 Tarihler 6:41
Ama sonuna kadar dayanan kurtulacaktır	Matta 24:13
O benim sığınağım,Ona güvenirim	Mezmurlar 90:2
Tanrıya yaklaşın, O da size yaklaşacaktır	Yakup 4:8
Yine gelip sizi yanıma alacağım	Yuhanna 14:3
Ey Tanrım, kulak ver ve işit	Daniel 9:18
Tanrıyla barışın	2 Korintliler 5:20
Sizi beni hoşnut eden bir koku gibi kabul edeceğim	Hezekiel 20:41
Bana gelen hiçbir zaman susamaz	Yuhanna 6:35
Çünkü Rabbin gelişi yakındır	Yakup 5:8
Çünkü çölde sular fışkıracak, Irmaklar akacak bozkırda	Yeşaya 35:6
Tanrı'yı bedeninizde yüceltin	1 Korintliler 6:20
Mesihin adı uğruna günahlarınız bağışlandı	1 Yuhanna 2:12
Öncülük et, yol göster bana Kendi adın uğruna	Mezmurlar 30:4
RABbin verdiği sevinç sizi güçlü kılar	Nehemya 8:10
Sevgi ve esenlik altinda sevincle yasayin	2 Korintliler 13:11
Tanrının Ruhunun sizde yaşadığını bilmiyor musunuz	1 Korintliler 3:16
Bilgili kişi az konuşur, Akıllı kişi sakin ruhludur	Süleyman'ın Özdeyişleri 17:27
Onun yaralarıyla şifa buldunuz	1 Petrus 2:24
Eski yolları sorun, İyi yol nerede, öğrenin	Yeremya 6:16
Tanrıdan doğmuş olan herkes dünyayı yener	1 Yuhanna 5:4
Esenlik kaynağı olan Rabbin kendisi size esenlik versin	2 Selanikiler 3:16
Kutsal, kutsal, kutsaldır,Her Şeye Gücü Yeten Rab Tanrı	Vahiy 4:8
Her Şeye Egemen RAB Kutsal, kutsal, kutsaldır	Yeşaya 6:3
İşte Kralın sana geliyor	Matta 21:5
İsa aynı şekilde geri gelecektir	Elçilerin İşleri 1:11
Bu nedenle tümünu kurtaracak	İbraniler 7:24-25
Gücüm, güçsüzlükte tamamlanır	2 Korintliler 12:9
Sözünüz lütufla dolu olsun	Koloseliler 4:6
Rab'bin sözü sonsuza dek kalır	1 Petrus 1:25
Sözün adımlarım için  ışıktır	Mezmurlar 118:105
Tanrı alçakgönüllülere lütfeder	Yakup 4:6
Rabbin önünde kendinizi alçaltın	Yakup 4:10
Bakın, Baba bizi o kadar çok seviyor ki	1 Yuhanna 3:1
Tanrı korkusuyla kutsallıkta yetkinleşelim	2 Korintliler 7:1
Rable birleşen kişiyse Onunla tek ruh olur	1 Korintliler 6:17
Tanrının sevgisinde koruyun	Yahuda 21
Kurtarıcımız Mesih İsa ölümü etkisiz kılmış	2 Timoteos 1:9
Bizi yeterli kılan Tanrıdır	2 Korintliler 3:5
Barış içinde yaşamaya, kutsal olmaya gayret edin	İbraniler 12:14
Tek bir ruhta dimdik,tek can halinde birlikte durunuzu	Filimon 1:27
Sadık kullarının adımlarını korur 	1 Samuel 2:9
Yeryüzünde yabancı ve konuk olduklar	İbraniler 11:13
RAB korkusu yaşam kaynağıdır	Süleyman'ın Özdeyişleri 14:27
İşte Rab korkusu, bilgelik budur	Eyüp 28:28
Oğlum, sözlerimi yerine getir	Süleyman'ın Özdeyişleri 7:1
