#BIBLE VERSE DESKTOP
 
#name   	Ukrainian Bible
#copyright	Public Domain
#language	ukrainian

; В программе использованны цитаты,
; взятые из Украинской Библии.

Запечатані обітованим Святим Духом	Еф.1:13
І ви маєте в Нім повноту	Кол.2:10
І вже не я живу, а Христос живе в мені	Гал.2:20
Бо воля Божа, освячення ваше	1Сол.4:3
Ви - діти світла і сини дня	1Сол.5:5
Бо дав нам Бог не духа страху, а сили, любові і здорового розуму	2Тим.1:7
Бо тут ми не маємо постійного міста, а шукаємо майбутнього	Євр.13:14
Тому що Бог не покликав нас до нечистоти, але до святості	1Сол.4:7
Бо Слово Боже живе і діюче	Євр.4:12
Бо так Бог полюбив світ, що віддав Cина Свого Єдинородного	Ін.3:16
Бо я знаю, в Кого повірив..	2Тим.1:12
Бо з`явилась благодать Божа, що спасає всіх людей	Тит.2:11
Ісус Христос Той Самий учора, сьогодні і навіки Той же!	Євр.13:8
Маючи поживу і одяг, будьмо задоволені з того	1Тим.6:8
Сповнюйтесь Духом	Еф.5:18
Яка надзвичайна велич сили Його в нас	Еф.1:19
Яке багатство славної спадщини Його для святих	Еф.1:18
Як почуєте голос Його, не будьте жорстокими	Євр.3:7-8
Кого Я люблю, того і докоряю і караю	Об.3:19
Любов`ю служіть один одному	Гал.5:13
Моліться завжди всякою молитвою і благанням у дусі	Еф.6:18
Ми маємо викуплення кров`ю Його, прощення гріхів	Еф.1:7
Ми стали учасниками Христа	Євр.3:14
Підбадьорюйте щодня один одного	Євр.3:13
Не залишаймо зібрання свого	Євр.10:25
Тому не спімо, як інші, а пильнуймо та будьмо тверезі	1Сол.5:6
Ні про що не журіться	Фил.4:6
Не нехтуй даром своїм, даним тобі	1Тим.4:14
Безперестанку моліться	1Сол.5:17
Думайте про те, що вгорі, а не про те, що на землі	Кол.3:2
Він спас нас, але не через діла праведні,.. а зі Свого милосердя	Тит.3:5
Вони перемогли його кров`ю Агнця і словом свідчення свого	Об.12:11
Залишивши початки вчення Христового, прямуймо до досконалості	Євр.6:1
Віддав Самого Себе за гріхи наші	Гал.1:4
Відкривайте прохання ваші перед Богом	Фил.4:6
Плід Духа: любов, радість, мир..	Гал.5:22
Переможцеві дам їсти від дерева життя	Об.2:7
Переможцеві дозволю сісти зі Мною на престолі Моїм	Об.3:21
Змагайся добрим подвигом віри, тримайся вічного життя	1Тим.6:12
Будьте наслідувачами Богові, як улюблені діти	Еф.5:1
Пізнавайте, що є воля Господня	Еф.5:17
Подумайте про Того, Хто витерпів таку над Собою наругу від грішників	Євр.12:3
Живіть духом	Гал.5:16
Поводьтеся, як діти Світла	Еф.5:8
Праведний вірою жити буде	Рим.1:17
Досягай справедливості, побожності, віри, любові, терпеливості, лагідності	1Тим.6:11
Проповідуй Слово наполегливо і повсякчасно	2Тим.4:2
Радійте завжди в Господі, і знову кажу: радійте!	Фил.4:4
Біжімо з витривалістю в змаганні, яке призначене нам	Євр.12:1
Святий нехай ще освячується	Об.22:11
Ось, прийду скоро	Об.3:11
Слово ваше нехай буде завжди ласкаве, приправлене сіллю	Кол.4:6
Слово Христове оселюється у вас рясно	Кол.3:16
Христос для волі нас визволив	Гал.5:1
Ті, що Христові, розп`яли плоть	Гал.5:24
Вам потрібне терпіння, щоб виконати волю Божу й одержати обітницю	Євр.10:36
Випростуйте опущені руки і знеможені коліна	Євр.12:12
Сину мій, зміцнюйся в благодаті, яка в Христі Ісусі	2Тим.2:1
Зміцнюйтесь в Господі і в могутності сили Його	Еф.6:10
Надіємось на Бога Живoго, Який є Спаситель всіх людей	1Тим.4:10
Доручене тобі, зберігай Духом Святим, Який живе в нас	2Тим.1:14
Христос у вас, надія слави	Кол.1:27
