#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Luter Bible
#language	german

; Scripture taken from the Luter Bible. 
; Public Domain.

Verzeihe mir die verborgenen Fehle	Ps.19:12
Uns ist bange, aber wir verzagen nicht	2Kor.4:8
Der Vater den Sohn gesandt hat als Heiland der Welt	1Joh.4:14
Wenn dein Wort offenbar wird, so erfreut es 	Ps.119:130
Denn die Augen des HERRN sehen auf die Gerechten	1Petr.3:12
Auch wir haben ein Passalamm, das ist Christus, der geopfert ist. 	1Kor.5:7
Ich will ihre Speise segnen 	Ps.132:15
Gedenke aber mein nach deiner Barmherzigkeit	Ps.25:7
Wer überwindet, der wird es alles ererben	Offb.21:7
Ich habe einen guten Kampf gekämpft	2Tim.4:7
Stärke mich, daß ich genese	Ps.119:117
Der HERR kennt die seinen	2Tim.2:19
Betet an den HERRN in heiligem Schmuck	Ps.96:9
So seid nun Gott untertänig. Widerstehet dem Teufel	Jak.4:7
Voll Barmherzigkeit und guter Früchte	Jak.3:17
Vor dir ist Freude die Fülle	Ps.16:11
So fasset nun diese Worte zu Herzen und in eure Seele 	5Mose.11:18
Unsre Hilfe steht im Namen des HERRN	Ps.124:8
Gedenke meiner, mein Gott, im Besten! 	Neh.13:31
Gehorche doch der Stimme des HERRN	Jer.38:20
Wer aber die Wahrheit tut, der kommt an das Licht	Joh.3:21
Sende dein Licht und deine Wahrheit	Ps.43:3
Befiehl dem HERRN deine Wege 	Ps.37:5
Harre des HERRN, der wird dir helfen. 	Spr.20:22
Laß… deine Heiligen sich freuen des Guten. 	2Chr.6:41
Wer aber beharret bis ans Ende, der wird selig	Mt.24:13
Meine Zuversicht und meine Burg	Ps.91:2
Nahet euch zu Gott, so naht er sich zu euch	Jak.4:8
So will ich wiederkommen und euch zu mir nehmen	Joh.14:3
Ach HERR, höre, ach HERR, sei gnädig,	Dan.9:18
Laßt euch versöhnen mit Gott. 	2Kor.5:20
Ihr werdet mir angenehm sein mit dem süßen Geruch	Hes.20:41
Wer zu mir kommt, den wird nicht hungern	Joh.6:35
Denn die Zukunft des HERRN ist nahe	Jak.5:8
Denn es werden Wasser in der Wüste hin und wieder fließen und Ströme im dürren Lande. 	Jes.35:6
Darum preist Gott mit eurem Leibe,	1Kor.6:20
Daß euch die Sünden vergeben sind um seines Namens willen. 	1Joh.2:12
Um deines Namens willen wolltest du mich leiten und führen. 	Ps.31:3
Die Freude am HERRN ist eure Stärke	Neh.8:10
Freuet euch, laßt euch zurechtbringen, laßt euch mahnen	2Kor.13:11
Wißt ihr nicht, daß ihr Gottes Tempel seid	1Kor.3:16
Ein Vernünftiger mäßigt seine Rede	Spr.17:27
Durch seine Wunden seid ihr heil geworden. 	1Petr.2:24
Tretet auf die Wege und schauet und fraget nach den vorigen Wegen, welches der gute Weg sei, und wandelt darin	Jer.6:16
alles, was von Gott geboren ist, überwindet die Welt	1Joh.5:4
Er aber, der HERR des Friedens, gebe euch Frieden allenthalben und auf allerlei Weise	2Thes.3:16
Heilig, heilig, heilig ist Gott der HERR, der Allmächtige	Offb.4:8
Heilig, heilig, heilig ist der HERR Zebaoth	Jes.6:3
Siehe, dein König kommt zu dir	Mt.21:5
Dieser Jesus… wird kommen, wie ihr ihn gesehen habt  	Apg.1:11
Dieser… kann er auch selig machen immerdar	Hebr.7:24-25
Denn meine Kraft ist in den Schwachen mächtig.	2Kor.12:9
Eure Rede sei allezeit lieblich	Kol.4:6
Des HERRN Wort bleibt in Ewigkeit.	1Petr.1:25
Dein Wort ist meine Fußes Leuchte 	Ps.119:105
Den Demütigen gibt er Gnade.	Jak.4:6
Demütiget euch vor Gott	Jak.4:10
Sehet, welch eine Liebe hat uns der Vater erwiesen	1Joh.3:1
Und die Heiligung vollenden in der Furcht Gottes. 	2Kor.7:1
Wer aber dem HERRN anhängt, der ist ein Geist mit ihm. 	1Kor.6:17
Und erhaltet euch in der Liebe Gottes	Jud.21
Der uns hat selig gemacht und berufen mit einem heiligen Ruf,	2Tim.1:9
Daß wir tüchtig sind, ist von Gott, 	2Kor.3:5
Jaget nach dem Frieden gegen jedermann und der Heiligung	Hebr.12:14
Ihr steht in einem Geist und einer Seele 	Phlm.1:27
Er wird behüten die Füße seiner Heiligen	1Sam.2:9
Daß sie Gäste und Fremdlinge auf Erden wären. 	Hebr.11:13
Die Furcht des HERRN ist eine Quelle des Lebens	Spr.14:27
Siehe, die Furcht des HERRN, das ist Weisheit	Hiob.28:28
Mein Kind, behalte meine Rede 	Spr.7:1
Das Geheimnis des HERRN ist unter denen, die ihn fürchten	Ps.25:14
