#BIBLE VERSE DESKTOP

#name   	Thai Bible
#language	thai
#charset	thai

; Scripture taken from the Thai Bible. 

ผู้ที่สมควรได้รับฤทธิ์เดช ทรัพย์สมบัติ ปัญญา อานุภาพ เกียรติ สง่าราศี และคำสดุดี	วว.5:12
สิ่งสารพัดที่เก่าๆก็ล่วงไป ดูเถิด กลายเป็นสิ่งใหม่ทั้งนั้น		2คร.5:17
พระวิญญาณแห่งสง่าราศีและของพระเจ้าทรงสถิตอยู่กับท่าน	1ปต.4:14
จงมีจิตใจกระตือรือร้น จงปรนนิบัติองค์พระผู้เป็นเจ้า	รม.12:11
ด้วยเหตุว่า..  มีคนกลางแต่ผู้เดียวระหว่างพระเจ้ากับมนุษย์	1ทม.2:5
ถ้าพระเจ้าทรงอยู่ฝ่ายเรา ใครจะขัดขวางเรา?	รม.8:31
ถ้าเจ้าแสวงหาพระองค์ เจ้าจะพบพระองค์	1พศด.28:9
เพราะอีกไม่นานพระองค์ผู้จะเสด็จมาก็จะเสด็จมาและจะไม่ทรงชักช้า	ฮบ.10:37
ชีวิตของท่านซ่อนไว้กับพระคริสต์ในพระเจ้า	คส.3:3
พระองค์ทรงอำนวยพระพรแก่ที่อาศัยของคนชอบธรรม	สภษ.3:33
พระองค์ยังทรงกระทำพันธสัญญาเนืองนิตย์กับข้าพเจ้าไว้	2ซมอ.23:5
ท่านก็ได้รับการผนึกตราไว้ด้วยพระวิญญาณบริสุทธิ์แห่งพระสัญญา	อฟ.1:13
พระเยโฮวาห์ทรงทราบทางของคนชอบธรรม	สดด.1:6
พระบิดาของท่านทรงทราบก่อนที่ท่านทูลขอแล้ว	มธ.6:8
ความรู้นั้นทำให้ลำพอง แต่ความรักเสริมสร้างขึ้น	1คร.8:1
เราจะเป็นบิดาของพวกเจ้าและพวกเจ้าจะเป็นบุตรชายบุตรสาวของเรา	2คร.6:18
โดยพระองค์นั้น ทุกคนที่เชื่อจะพ้นโทษได้ทุกอย่าง	กจ.13:39
และท่านเหล่านั้นจะร้องเพลงถึงพระมรรคาของพระเยโฮวาห์		สดด.138:5
และเรากล่าวว่า `เจ้าจะเรียกเราว่า พระบิดาของข้าพระองค์	ยรม.3:19
และเราจะบรรจุจิตวิญญาณใหม่ไว้ในเจ้า	อสค.36:26
และชีวิตนั้นเป็นความสว่างของมนุษย์ทั้งปวง	ยน.1:4
และผู้ใดได้แตะต้องพระองค์แล้วก็หายป่วยทุกคน	มก.6:56
เราทั้งหลายจึงรู้และเชื่อในความรักที่พระเจ้าทรงมีต่อเรา	1ยน.4:16
บนแผ่นดินโลกสันติสุขจงมีท่ามกลางมนุษย์ทั้งปวง	ลก.2:14
และรอคอยพระบุตรของพระองค์จากสวรรค์	1ธส.1:10
เราจะอยู่ในหมู่พวกเจ้า	ลนต.26:11
คำพูดและคำเทศนาของข้าพเจ้า...แต่เป็นคำซึ่งได้แสดงพระวิญญาณและพระเดชานุภาพ	1คร.2:4
เช่นนั้นแหละ เมื่ออับราฮัมได้ทนคอยด้วยความเพียรแล้ว ท่านก็ได้รับตามพระสัญญานั้น	ฮบ.6:15
ท่านได้กระทำแก่คนใดคนหนึ่ง, ถึงแม้จะต่ำต้อยเพียงไร  ก็เหมือนได้กระทำแก่เราด้วย	มธ.25:40
พระเจ้าจะทรงเช็ดน้ำตาทุกหยดจากตาของเขาเหล่านั้น	วว.7:17
เพราะพระเจ้าทรงปรีดีในประชากรของพระองค์	สดด.149:4
เพราะว่าวันแห่งพระเจ้ามาใกล้แล้ว	ศฟย.1:7
เพราะความรักมั่นคงของพระองค์ที่มีต่อเรานั้นใหญ่หลวง		สดด.117:2
เพราะดูเถิด  เราจะสร้างฟ้าสวรรคใหม่  และแผ่นดินโลกใหม่		อสย.65:17
บรรดาพระสัญญาของพระเจ้าก็จริงโดยพระเยซู  ...จึงพูดว่าอาเมน	2คร.1:20
และชีวิตนั้นได้ปรากฏ  และเราได้เห็น  และเป็นพยาน	1ยน.1:2
ด้วยว่าแอกของเราก็พอเหมาะ  และภาระของเราก็เบา	มธ.11:30
เพราะพระองค์ซึ่งสงสารเขาจะทรงนำเขาไป	อสย.49:10
เพราะว่าเราทั้งหลายร่วมกันทำงานเพื่อพระเจ้า	1คร.3:9
เพราะว่าเราเป็นกลิ่นอันหอมหวาน  ที่พระคริสต์ถวายพระเจ้า	2คร.2:15
เพราะว่าพระบิดาเองก็ทรงรักท่านทั้งหลาย	ยน.16:27
พวกเราที่กำลังจะรอดเห็นว่าเป็นฤทธานุภาพของพระเจ้า		1คร.1:18
มาเถิด  ให้พวกเรามาติดสนิทกับพระเจ้า	ยรม.50:5
ถ้อยคำได้ออกไป  จากปากของเรา  ซึ่งจะไม่กลับ	อสย.45:23
ด้วยเหตุนี้พระองค์จึงทรงสามารถเป็นนิตย์ที่จะช่วยคนทั้งปวง	ฮบ.7:25
ท่านเอลียาห์ก็เป็นมนุษย์ที่มีสภาพเหมือนกับเราทั้งหลาย	ยก.5:17
เมื่อเรามีพระสัญญาเช่นนี้แล้ว  ให้เราชำระตัวเราให้ปราศจากมลทินทุกอย่าง	2คร.7:1
พระนามของพระเจ้าเป็นป้อมเข้มแข็ง	สภษ.18:10
เขาเหล่านั้นก็ประกอบด้วยพระวิญญาณบริสุทธิ์	กจ.2:4
แต่ผู้ที่ประพฤติตามพระทัยของพระเจ้าจะดำรงอยู่เป็นนิตย์	1ยน.2:17
ความสัตย์สุจริตของพระองค์ดำรงอยู่ทุกชั่วชาตพันธุ์	สดด.100:5
ความสัตย์ซื่อของพระองค์ไปถึงเมฆ	สดด.36:5
เราทั้งหลายจะได้มีใจกล้า  และไม่หลบพระพักตร์พระองค์ด้วย		1ยน.2:28
เรารักบรรดาผู้ที่รักเรา  และบรรดาผู้ที่แสวงเราก็พบเรา	สภษ.8:17
จิตวิญญาณของข้าพระองค์เกาะติดอยู่ที่พระองค์		สดด.63:8
ข้าแต่พระเจ้าข้าพระองค์ร้องทูลพระองค์	ยอล.1:19
แต่ทุกคนก็จะได้ค่าจ้างตามการที่ตนได้กระทำไว้	1คร.3:8
พระนามของพระองค์สูงส่งยิ่งนักทั่วแผ่นดินโลก!	สดด.8:9
พระดำริของพระองค์ประเสริฐแก่ข้าพระองค์จริงๆ!	สดด.139:17
และทางของพระองค์ก็เหลือที่จะสืบเสาะได้!	รม.11:33
พระองค์จะทรงเลี้ยงฝูงแพะแกะของพระองค์อย่างผู้เลี้ยงแกะ	อสย.40:11
ตามที่มีคำเขียนไว้ในพระคัมภีร์ว่า  เท้าของคนเหล่านั้นที่นำข่าวดีมา  ช่างงามจริงๆหนอ	รม.10:15
เมื่อข้าพระองค์กลัว  ข้าพระองค์วางใจในพระองค์		สดด.56:3
ถ้าท่านอวยพรแก่ผู้ใดผู้นั้นจะเป็นไปตามพรนั้น	กดว.22:6
พระองค์จะทรงให้ท่านมั่นคงอยู่จนถึงที่สุด	1คร.1:8
พระเยซูทรงสละพระองค์เองเพราะบาปของเราทั้งหลาย	กท.1:4
พระโลหิตของพระเยซูคริสต์พระบุตรของพระองค์  ก็ชำระเราทั้งหลายให้ปราศจากบาปทั้งสิ้น	1ยน.1:7
เหตุฉะนั้นถ้าผู้ใดอยู่ในพระคริสต์  ผู้นั้นก็เป็นคนที่ถูกสร้างใหม่แล้ว	2คร.5:17
ถ้าผู้ใดเข้าไปทางเราผู้นั้นก็จะรอด	ยน.10:9
ถ้าผู้ใดกระหาย  ผู้นั้นจงมาหาเราและดื่ม	ยน.7:37
ใครเป็นทาสสัตย์ซื่อและฉลาด	มธ.24:45
แต่ถ้าผู้ใดรักพระเจ้า  พระเจ้าก็ทรงรู้จักผู้นั้น	1คร.8:3
ถ้าผู้ใดจะรับใช้เรา  ผู้นั้นก็ต้องตามเรามา	ยน.12:26
เขาทั้งหลายเพ่งดูพระองค์  และเบิกบาน	สดด.34:5
ผู้ที่ตามเรามาจะไม่เดินในความมืด  แต่จะมีความสว่างแห่งชีวิต	ยน.8:12
คนที่หว่านมากก็จะเกี่ยวเก็บได้มาก	2คร.9:6
บุคคลที่ดำเนินในความสัตย์ซื่อจะได้รับการช่วยกู้	สภษ.28:18
ขอให้พระเกียรติจงมีแด่พระองค์ผู้ทรงฤทธิ์…และในพระเยซูคริสต์ตลอดทุกชั่วอายุคนเป็นนิตย์	อฟ.3:20,21
