#BIBLE VERSE DESKTOP ( vrsoft.org )

#name   	Louis Segond Bible
#copyright	Public Domain
#language	french 

; Scripture taken from the Louis Segond Bible.
; Public Domain.

Ŕ cause de ton nom tu me conduiras, tu me dirigeras. 	Ps.31:4
La joie de l'Éternel sera votre force.	Né.8:10
Soyez dans la joie, perfectionnez-vous, consolez-vous, ayez un męme sentiment, vivez en paix	2Co.13:11
Ne sachez-vous pas que vous ętes le temple de Dieu?	1Co.3:16
Celui qui a l'esprit calme est un homme intelligent.	Pr.17:27
Lui par les meurtrissures duquel vous avez été guéris. 	1Pi.2:24
Placez-vous sur les chemins, regardez, et demandez quel sont les anciens sentiers	Jé.6:16
Tout ce qui est né de Dieu triomphe du monde	1Jn.5:4
Que le Seigneur de la paix vous donne lui-męme la paix en tout temps, de toute maničre	2Th.3:16
Saint, saint, saint est le Seigneur Dieu, le Tout Puisant, qui était, qui est, et qui vient! 	Ap.4:8
Saint, saint, saint est l'Éternel des armées!	És.6:3
Voici, ton roi vient ŕ toi, plein de douceur, et monté sur un âne, sur un ânon, le petit d'une ânesse. 	Mt.21:5
Ce Jésus,… reviendras de la męme façon	Ac.1:11
Mais lui,… peut sauver parfaitement…	Hé.7:24-25
Ma puissance s'accomplit dans la faiblesse	2Co.12:9
Que votre parole soit toujours accompagnée de grâce	Col.4:6
Mais la parole du Seigneur demeure éternellement.	1Pi.1:25
Ta parole est une lampe ŕ mes pieds, et une lumičre sur mon sentier.	Ps.119:105
Dieu résiste aux l'orgueilleux, Mais il fait grâce aux humbles. 	Ja.4:6
Humiliez-vous devant le Seigneur, et il vous élčvera. 	Ja.4:10
Voyez quel amour le Pčre nous a témoigné	1Jn.3:1
En achevant notre sanctification dans la crainte de Dieu	2Co.7:1
Mais celui qui s'attache au Seigneur est avec lui un seul esprit. 	1Co.6:17
Maintenez-vous dans l'amour de Dieu	Jude.21
Dieu nous a sauvés, et nous a adressé une sainte vocation	2Ti.1:9
Notre capacité vient de Dieu	2Co.3:5
Recherchez la paix avec tous, et la sanctification, sans laquelle personne ne verra le Seigneur	Hé.12:14
Demeurez fermes dans un męme esprit	Ph.1:27
Il gardera les pas de ses bien-aimés.	1S.2:9
Ils étaient étrangers et voyageurs sur la terre	Hé.11:13
La crainte de l'Éternel est une source de vie 	Pr.14:27
La crainte du Seigneur, c'est  la sagesse	Job 28:28
Mon fils, retiens mes paroles, et garde avec toi mes préceptes.	Pr.7:1
L'amitié de l'Éternel est pour ceux qui le craignent	Ps.25:14
Courez de maničre ŕ remporter	1Co.9:24
Que votre lumičre luise ainsi devant les hommes	Mt.5:16
Comme Christ est ressuscité des morts par la gloire du Pčre, de męme nous aussi nous marchions en nouveauté de vie.	Ro.6:4
De męme aussi l'Esprit nous aide dans notre faiblesse 	Ro.8:26
Je te couvre de l'ombre de ma main	És.51:16
Craignez seulement le l'Éternel et servez-le fidčlement	1S.12:24
Mais vous craindrez l'Éternel votre Dieu	2 R.17:39
Celui qui est en vous est plus grand que celui qui est dans le monde. 	1Jn.4:4
Il ne brisera point le roseau cassé	Mt.12:20
Tu seras comme un jardin arrosé	És.58:11
Tu as été guéri; ne pčche plus	Jn.5:14
Toi qui sondes les cśurs et les reins, Dieu juste!	Ps.7:10
Car tu es bon, Seigneur, tu pardonnes, Tu es plein d'amour pour tous ceux qui t'invoquent. 	Ps.86:5
Les ténčbres se dissipent et la lumičre véritable paraît déjŕ. 	1Jn.2:8
Le salut vient de l'Éternel. 	Jon.2:10
Ils retournčrent… les exhortant ŕ persévérer dans la foi	Ac.14:22
Les malheureux le voient et se réjouissent	Ps.69:33
Car ils ne pourront plus mourir,… étant fils de la résurrection. 	Lu.20:36
Notre consolation abonde par Christ	2Co.1:5
Je me confie dans la bonté de Dieu, éternellement et ŕ jamais.	Ps.52:10
C'est en confessant de la bouche qu'on parvient au salut	Ro.10:10
Accomplis envers ton serviteur ta promesse	Ps.119:38
Le temple de Dieu est saint, et c'est ce que vous ętes. 	1Co.3:17
La religion pure consiste .. ŕ se préserver des souillures du monde. 	Ja.1:27
Car le royaume de Dieu ne consiste pas en paroles, mais en puissance.	1Co.4:20
Qu'il fasse ce qui lui semblera bon!	1S.3:18
Car il est mort, et c'est pour le péché qu'il est mort une fois pour toutes	Ro.6:10
Que voulez-vous que je fasse pour vous?	Mc.10:36
Nous ne cessons de prier Dieu… que vous soyez remplis de la connaissance de sa volonté	Col.1:9
Afin que notre joie soit parfaite. 	1Jn.1:4
Que tu prospčres ŕ tous égards et sois en bonne santé	3Jn.1:2
E cherche ta face, ô Éternel!	Ps.27:8
Je regarderai vers l'Eternel,…mon Dieu m'exaucera.	Mi.7:7
Je vous ai donné un exemple, afin que vous fassiez comme je vous ai fait.	Jn.13:15
Je suis le cep. Vous ętes les sarments.	Jn.15:5
Et moi, je crie ŕ Dieu, et l'Éternel me sauvera. 	Ps.55:17
Je veux faire ta volonté, mon Dieu! 	Ps.40:9
Je suis rempli de force, de l'esprit de l'Éternel 	Mi.3:8
J'aime la piété et non les sacrifices	Os.6:6
